Фамилия и имя;Номер студенческого билета;Выбранная cложность (первый семестр);Оценка за курсовую работу (первый семестр);Выбранная cложность (второй семестр);Оценка за курсовую работу (второй семестр)
Лазарева Неонила;230401;4;4;3;2
Власова Татьяна;230402;5;3;5;3
Михеева Изольда;230403;3;3;3;4
Бирюкова Жасмин;230404;4;4;4;3
Галкина Инесса;230405;3;5;3;5
Титова Индира;230406;4;3;4;2
Хохлова Ксения;230407;5;4;5;4
Большакова Ника;230408;3;2;3;5
Волкова Яна;230409;4;3;4;4
Григорьева Береслава;230410;5;4;3;2
Воронова Андриана;230411;3;3;4;3
Красильникова Милиса;230412;4;5;5;4
Смирнова Фаина;230413;5;3;3;3
Соболева Нора;230414;3;4;4;5
Суханова Виоланта;230415;4;5;5;2
Костина Динара;230416;5;3;3;4
Жданова Весняна;230417;3;4;4;5
