Фамилия и имя;Номер студенческого билета;Выбранная cложность (первый семестр);Оценка за курсовую работу (первый семестр);Выбранная cложность (второй семестр);Оценка за курсовую работу (второй семестр);;;
Гущина Амелия;238401;3;5;5;2;;;
Молчанова Джулия;238402;5;4;3;3;;;
Игнатьева Амелия;238403;3;2;3;4;;;
Савельева Эшли;238404;5;3;4;3;;;
Осипова Фрида;238405;3;4;3;5;;;
Беспалова Дария;238406;4;3;3;2;;;
Зуева Агата;238407;4;5;4;4;;;
Наумова Ульна;238408;3;2;3;5;;;
Баранова Лидия;238409;4;4;4;4;;;
Александрова Жанна;238410;5;3;5;2;;;
Кошелева Архелия;238411;3;5;3;3;;;
Субботина Анжелика;238412;5;2;5;4;;;
Харитонова Янина;238413;3;4;3;3;;;
Осипова Мила;238414;4;5;5;5;;;
Большакова Николь;238415;4;4;3;2;;;
Данилова Альбина;238416;5;2;4;4;;; 
Крюкова Сара;238417;3;4;4;5;;;
